time,buffer,n_source_fault_overlaps,n_host_fault_overlaps,n_source_inactive_fault_overlaps,n_host_inactive_fault_overlaps,n_source,n_source_host,n_potential_OFM12,n_potential_OFM3,n_OFM3,n_OFM1,n_OFM2
00000,0,0,0,0,0,0,0,0,0,0,0,0
00001,0,0,1,0,0,0,0,0,0,0,0,0
00002,0,0,13,0,0,0,0,0,0,0,0,0
00003,0,0,19,0,0,0,0,0,0,0,0,0
00004,0,0,15,0,0,0,0,0,0,0,0,0
00005,0,0,15,0,0,0,0,0,0,0,0,0
00006,0,0,14,0,0,0,0,0,0,0,0,0
00007,0,0,16,0,0,0,0,0,0,0,0,0
00008,0,0,15,0,0,0,0,0,0,0,0,0
00009,0,0,15,0,0,0,0,0,0,0,0,0
00010,0,0,15,0,0,0,0,0,0,0,0,0
00011,0,0,19,0,0,0,0,0,0,0,0,0
00012,0,0,14,0,0,0,0,0,0,0,0,0
00013,0,0,13,0,0,0,0,0,0,0,0,0
00014,0,0,9,0,1,0,0,0,0,0,0,0
00015,0,0,6,0,2,0,0,0,0,0,0,0
00016,0,0,4,0,2,0,0,0,0,0,0,0
00017,0,0,1,0,2,0,0,0,0,0,0,0
00018,0,0,1,0,1,0,0,0,0,0,0,0
00019,0,0,3,0,1,1,1,0,0,0,0,0
00020,0,1,5,1,1,1,1,1,0,0,0,0
00021,0,1,3,2,1,1,1,1,0,0,0,0
00022,0,1,2,2,1,1,1,1,0,0,0,0
00023,0,1,6,1,1,1,1,1,0,0,0,1
00024,0,2,7,3,1,2,2,1,1,0,1,1
00025,0,2,8,3,1,4,2,1,1,0,0,1
00026,0,0,3,3,1,2,2,0,1,0,0,0
00027,0,1,2,3,2,2,1,0,1,0,0,0
00028,0,3,4,5,2,4,4,2,2,2,0,1
00029,0,2,3,5,2,4,4,1,3,2,0,0
00030,0,3,5,6,1,5,5,1,2,1,0,1
00031,0,2,3,5,1,5,5,2,3,1,0,1
00032,0,1,1,5,1,4,4,0,3,1,0,0
00033,0,0,1,5,3,4,4,0,3,2,0,0
00034,0,1,1,6,1,5,4,0,3,1,0,0
00035,0,1,0,5,2,6,5,0,3,2,0,0
00036,0,2,2,8,2,7,5,0,2,2,0,0
00037,0,1,0,6,1,6,5,0,3,2,0,0
00038,0,1,0,7,2,5,4,0,2,2,0,0
00039,0,1,0,6,1,5,4,0,3,1,0,0
00040,0,1,0,6,1,5,4,0,2,1,0,0
00041,0,0,0,4,1,4,4,0,3,1,0,0
00042,0,0,0,5,2,4,4,0,3,2,0,0
00043,0,0,0,5,2,4,4,0,2,2,0,0
00044,0,0,1,4,2,3,3,0,3,2,0,0
00045,0,0,0,3,2,3,3,0,2,2,0,0
00046,0,0,0,4,2,3,3,0,2,2,0,0
00047,0,0,0,4,2,3,3,0,2,2,0,0
00048,0,0,0,3,3,3,3,0,2,2,0,0
00049,0,0,0,4,2,3,3,0,2,2,0,0
00050,0,0,0,4,2,3,3,0,2,2,0,0
