time,buffer,n_source_fault_overlaps,n_host_fault_overlaps,n_source_inactive_fault_overlaps,n_host_inactive_fault_overlaps,n_source,n_source_host,n_potential_OFM12,n_potential_OFM3,n_OFM3,n_OFM1,n_OFM2
00000,0,0,0,0,0,0,0,0,0,0,0,0
00001,0,0,5,0,0,0,0,0,0,0,0,0
00002,0,0,5,0,0,0,0,0,0,0,0,0
00003,0,0,5,0,0,0,0,0,0,0,0,0
00004,0,0,5,0,0,0,0,0,0,0,0,0
00005,0,0,2,0,0,0,0,0,0,0,0,0
00006,0,0,6,0,0,0,0,0,0,0,0,0
00007,0,0,10,0,0,0,0,0,0,0,0,0
00008,0,0,11,0,0,0,0,0,0,0,0,0
00009,0,0,10,0,0,0,0,0,0,0,0,0
00010,0,0,11,0,0,0,0,0,0,0,0,0
00011,0,0,12,0,0,0,0,0,0,0,0,0
00012,0,0,4,0,0,0,0,0,0,0,0,0
00013,0,0,3,0,0,0,0,0,0,0,0,0
00014,0,0,3,0,0,0,0,0,0,0,0,0
00015,0,0,4,0,1,0,0,0,0,0,0,0
00016,0,1,2,1,0,1,1,1,0,0,0,0
00017,0,1,2,1,1,1,1,1,1,0,0,0
00018,0,0,4,1,2,1,1,0,1,0,0,0
00019,0,1,2,2,2,2,1,1,1,0,0,0
00020,0,2,3,2,1,2,1,1,1,0,0,0
00021,0,2,1,2,3,3,1,0,1,0,0,0
00022,0,1,1,2,4,2,2,0,1,0,0,0
00023,0,2,2,3,4,4,3,1,1,0,0,1
00024,0,1,1,3,3,4,2,1,1,0,0,0
00025,0,1,1,4,4,4,2,1,1,0,0,0
00026,0,1,3,3,3,4,3,1,1,0,0,1
00027,0,1,1,4,5,4,2,1,1,0,0,0
00028,0,0,1,2,4,2,2,0,1,0,0,0
00029,0,0,1,2,5,2,2,0,1,0,0,0
00030,0,0,1,2,7,2,2,0,1,0,0,0
00031,0,0,2,2,7,2,2,0,1,0,0,0
00032,0,0,4,2,7,2,2,0,1,0,0,0
00033,0,0,3,2,6,2,2,0,1,0,0,0
00034,0,0,3,2,8,2,2,0,1,0,0,0
00035,0,0,3,2,5,2,2,0,1,0,0,0
00036,0,1,4,2,7,2,2,1,2,0,0,1
00037,0,1,1,3,4,3,2,1,1,0,0,1
00038,0,1,3,5,6,2,2,1,1,0,0,0
00039,0,4,1,5,7,2,2,1,1,0,0,0
00040,0,4,4,5,5,3,3,1,2,0,2,0
00041,0,4,3,3,3,3,3,1,1,0,2,0
00042,0,4,2,6,7,3,3,1,2,0,2,0
00043,0,3,1,7,5,4,3,1,2,0,0,1
00044,0,5,1,6,5,5,2,1,1,0,0,1
00045,0,3,0,6,5,5,2,0,1,1,0,0
00046,0,3,0,6,8,6,2,0,1,1,0,0
00047,0,2,1,6,4,5,2,1,1,0,0,1
00048,0,5,0,9,5,6,2,0,1,1,0,0
00049,0,3,1,9,4,5,3,1,1,1,0,1
00050,0,0,1,4,5,2,1,0,1,1,0,0
